# ----------------------------------------
# Демографические данные: Город
# Аккаунт: Techfil
# Ресурс: techfil.com.ua
# ----------------------------------------
# 
# Все пользователи
# Дата начала: 20250622
# Дата окончания: 20250728
Город,Активные пользователи,Новые пользователи,Сеансы с взаимодействием,Доля взаимод.,Сеансы с взаимодействием на активного пользователя,Среднее время взаимодействия на активного пользователя,Количество событий,Ключевые события,Доля ключевых событий на пользователя,Общий доход
Pivdennoukrainsk,1,1,1,1,1,93,19,5,1,0
Pokrovs'ke,1,1,1,1,1,14,11,2,1,0
Prague,1,1,1,1,1,0,4,1,1,0
Reston,1,1,1,1,1,0,6,1,1,0
Rozhyshche,1,1,3,1,3,209,86,19,1,0
Sarny,1,1,1,1,1,65,11,2,1,0
Shakhtarske,1,1,1,1,1,59,23,4,1,0
Smila,1,1,1,1,1,11,6,1,1,0
Sofia,1,1,1,1,1,36,26,5,1,0
Sokal,1,1,1,1,1,2,6,1,1,0
Spearfish,1,1,1,1,1,0,5,1,1,0
Stockholm,1,1,1,1,1,0,4,1,1,0
Summerset,1,0,1,1,1,23,4,0,0,0
Sumy,1,1,1,1,1,21,7,1,1,0
Sungai Pinang,1,1,1,1,1,9,12,2,1,0
Tallinn,1,1,1,1,1,20,9,1,1,0
Tampere,1,1,1,1,1,114,8,1,1,0
Tiraspol,1,1,1,1,1,33,23,5,1,0
Torun,1,1,1,1,1,142,6,1,1,0
Trieste,1,1,1,1,1,19,5,1,1,0
Uman,1,1,1,1,1,217,42,8,1,0
Vasyl'kivka,1,1,1,1,1,9,8,1,1,0
Vellore,1,1,1,1,1,2,8,1,1,0
Visakhapatnam,1,1,1,1,1,3,11,2,1,0
Volodymyr,1,1,1,1,1,0,4,1,1,0
Yahotyn,1,1,1,1,1,10,8,1,1,0
Yekaterinburg,1,1,1,0.5,1,0,6,1,1,0
Yonkers,1,1,1,1,1,15,6,1,1,0
Zhovti Vody,1,0,1,1,1,119,1,0,0,0
Zlatopil,1,1,1,1,1,1,7,1,1,0
Zolotonosha,1,1,1,1,1,16,8,1,1,0
Zvenyhorodka,1,1,1,1,1,16,9,1,1,0
Baranivka,0,0,2,1,0,0,9,2,0,0
Kam'yanets'-Podil's'kyi,0,0,0,0,0,0,2,0,0,0
