Отчет о ключевых словах в поисковой сети
22 июня 2025 г. - 28 июля 2025 г.
Статус ключевых слов,Ключевое слово,Тип соответствия,Кампания,Группа объявлений,Статус,Причины статуса,Конечный URL,Kлики,Показы,CTR,Код валюты,Ср. цена за клик,Расходы,Коэфф. конверсии,Ценность конв.,Ценн. конв./стоим.,Конверсии,Стоимость/конв.
Включено,чорний petg,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,2,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,пластик для 3д принтера,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,3,61,"4,92%",UAH,"7,70","23,10","200,00%","250,62","10,85","6,00","3,85"
Включено,petg філамент,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,2,8,"25,00%",UAH,"8,53","17,06","50,00%","41,77","2,45","1,00","17,06"
Включено,пластик 3д,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,5,"20,00%",UAH,"6,19","6,19","100,00%","41,80","6,75","1,00","6,19"
Включено,3d plast,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,6,96,"6,25%",UAH,"4,11","24,64","216,67%","543,46","22,06","13,00","1,90"
Включено,"""plexiwire petg""",Фразовое соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,4,"25,00%",UAH,"18,13","18,13","100,00%","41,94","2,31","1,00","18,13"
Включено,drukar petg,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,2,"50,00%",UAH,"7,47","7,47","500,00%","208,98","27,98","5,00","1,49"
Включено,"""petg 1.75""",Фразовое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,fiberlogy petg,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,пластик для 3d-друку petg,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,plexiwire petg,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,2,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,купити copet,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,2,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg для ender 3,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,"""купити petg""",Фразовое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,14,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg пластик для 3d-друку,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg ціна,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,[petg купити],Точное соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,3,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,"""petg для 3д принтера""",Фразовое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,"""monofilament petg""",Фразовое соответствие,PETG-UA,PETG-UA-General,Допущено,,,2,15,"13,33%",UAH,"21,54","43,08","550,00%","458,12","10,63","11,00","3,92"
Включено,[petg 1.75],Точное соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,[petg пластик купити],Точное соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,"""esun petg""",Фразовое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,15,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg для 3д принтера,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,"""polymaker petg""",Фразовое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,"""petg пластик""",Фразовое соответствие,PETG-UA,PETG-UA-General,Допущено,,,3,19,"15,79%",UAH,"8,47","25,40","433,33%","544,98","21,46","13,00","1,95"
Включено,сірий petg,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,1,"100,00%",UAH,"6,83","6,83","300,00%","125,20","18,33","3,00","2,28"
Включено,petg для creality,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,"""пластик для 3d принтера petg""",Фразовое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg чи pla,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,филамент для 3д принтера,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,8,"12,50%",UAH,"6,02","6,02","100,00%","41,76","6,94","1,00","6,02"
Включено,petg,Широкое соответствие,PETG-UA,PETG-UA-General,Допущено,,,1,57,"1,75%",UAH,"3,65","3,65","1300,00%","1 644,28","450,49","13,00","0,28"
Включено,"""petg пластик купити""",Фразовое соответствие,PETG-UA,PETG-UA-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg пластик plexiwire,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,1,4,"25,00%",UAH,"5,29","5,29","100,00%","41,72","7,89","1,00","5,29"
Включено,filament sunlu,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,6,52,"11,54%",UAH,"6,68","40,06","191,67%","480,43","11,99","11,50","3,48"
Включено,3д печать пластик,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,24,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,"""petg 1.75""",Фразовое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,пластик для 3д принтеров,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,5,56,"8,93%",UAH,"5,81","29,03","100,00%","208,97","7,20","5,00","5,81"
Включено,цена 3d принтера,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,2,60,"3,33%",UAH,"11,61","23,22","100,00%","83,53","3,60","2,00","11,61"
Включено,купить petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,3,15,"20,00%",UAH,"7,11","21,33","400,00%","4 940,05","231,60","12,00","1,78"
Включено,"""petg филамент""",Фразовое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,24,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,[petg 1.75],Точное соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,триде принтер цена,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,3dplast petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,21,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,"""polymaker petg""",Фразовое соответствие,PETG-RU,PETG-RU-General,Допущено,,,1,1,"100,00%",UAH,"5,22","5,22","100,00%","41,77","8,00","1,00","5,22"
Включено,копет пластик,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg пластик для 3d принтера купить,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg киев,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,0, --,UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,elegoo petg pro,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,2,14,"14,29%",UAH,"3,87","7,73","300,00%","250,85","32,44","6,00","1,29"
Включено,натуральный petg,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg для 3d принтера,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,0,1,"0,00%",UAH,0,"0,00","0,00%","0,00","0,00","0,00","0,00"
Включено,petg или pla,Широкое соответствие,PETG-RU,PETG-RU-General,Допущено,,,3,14,"21,43%",UAH,"4,43","13,28","233,33%","570,43","42,95","7,00","1,90"
